Severity,Checker,File,Line
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/csrf/CSRFFeedback.java","37"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/csrf/CSRFFeedback.java","38"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/hijacksession/HijackSessionAssignment.java","44"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/idor/IDOREditOtherProfile.java","37"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/idor/IDORLogin.java","27"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/idor/IDORViewOtherProfile.java","36"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/idor/IDORViewOwnProfile.java","22"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/idor/IDORViewOwnProfileAltUrl.java","29"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/lessontemplate/SampleAttack.java","32"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/passwordreset/ResetLinkAssignmentForgotPassword.java","46"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/passwordreset/SimpleMailAssignment.java","37"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/advanced/SqlInjectionChallenge.java","39"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/advanced/SqlInjectionChallengeLogin.java","23"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/advanced/SqlInjectionLesson6a.java","39"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/advanced/SqlInjectionLesson6b.java","28"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson10.java","38"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson2.java","37"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson3.java","32"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson4.java","33"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson5.java","36"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson5a.java","34"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson5b.java","34"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson8.java","38"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson9.java","39"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/mitigation/Servers.java","44"
"Minor","FB.EI_EXPOSE_REP2","/builds/gitlab/drit_digital_trace/owasp-webgoat/src/main/java/org/owasp/webgoat/lessons/sqlinjection/mitigation/SqlInjectionLesson13.java","38"
