SessionService.java	16	FB.EI_EXPOSE_REP2	Minor
SigningAssignment.java	60	DEREF_OF_NULL.RET.STAT	Major
SimpleMailAssignment.java	37	FB.EI_EXPOSE_REP2	Minor
SimpleMailAssignment.java	52	PROC_USE.VULNERABLE	Minor
SimpleXXE.java	45	FB.EI_EXPOSE_REP2	Minor
SpoofCookieAssignment.java	55	TAINTED_PTR.COOKIE	Major
SpoofCookieAssignment.java	73	PROC_USE.VULNERABLE	Minor
SpoofCookieAssignment.java	78	PROC_USE.VULNERABLE	Minor
SqlInjectionChallenge.java	39	FB.EI_EXPOSE_REP2	Minor
SqlInjectionChallenge.java	56	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionChallenge.java	56	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
SqlInjectionChallenge.java	56	HANDLE_LEAK.EXCEPTION	Normal
SqlInjectionChallenge.java	57	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionChallenge.java	63	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
SqlInjectionChallenge.java	63	HANDLE_LEAK.EXCEPTION	Normal
SqlInjectionChallengeLogin.java	23	FB.EI_EXPOSE_REP2	Minor
SqlInjectionChallengeLogin.java	34	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionChallengeLogin.java	34	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
SqlInjectionChallengeLogin.java	34	HANDLE_LEAK	Major
SqlInjectionChallengeLogin.java	38	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson10.java	100	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson10.java	38	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson10.java	54	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson10.java	54	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
SqlInjectionLesson10.java	54	HANDLE_LEAK	Major
SqlInjectionLesson10.java	99	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson10.java	99	HANDLE_LEAK	Major
SqlInjectionLesson10b.java	99	FB.DLS_DEAD_LOCAL_STORE	Major
SqlInjectionLesson13.java	38	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson2.java	37	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson2.java	48	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson2.java	48	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
SqlInjectionLesson2.java	48	HANDLE_LEAK	Major
SqlInjectionLesson2.java	49	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson3.java	32	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson3.java	44	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson3.java	46	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
SqlInjectionLesson3.java	46	HANDLE_LEAK	Major
SqlInjectionLesson4.java	33	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson5.java	36	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson5.java	48	FB.REC_CATCH_EXCEPTION	Major
SqlInjectionLesson5.java	57	TAINTED_PTR.MINOR	Minor
SqlInjectionLesson5.java	65	FB.RV_RETURN_VALUE_IGNORED	Major
SqlInjectionLesson5.java	82	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson5.java	82	HANDLE_LEAK	Major
SqlInjectionLesson5.java	87	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson5a.java	34	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson5b.java	34	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson5b.java	41	TAINTED_PTR	Critical
SqlInjectionLesson5b.java	48	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson5b.java	48	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
SqlInjectionLesson5b.java	48	HANDLE_LEAK	Major
SqlInjectionLesson5b.java	69	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson6a.java	39	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson6b.java	28	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson6b.java	34	PROC_USE.VULNERABLE	Minor
SqlInjectionLesson6b.java	47	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson6b.java	47	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
SqlInjectionLesson6b.java	47	HANDLE_LEAK.EXCEPTION	Normal
SqlInjectionLesson6b.java	49	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson8.java	141	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson8.java	141	HANDLE_LEAK	Major
SqlInjectionLesson8.java	38	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson8.java	59	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson8.java	59	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
SqlInjectionLesson8.java	59	HANDLE_LEAK	Major
SqlInjectionLesson8.java	62	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson9.java	116	FB.OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE	Minor
SqlInjectionLesson9.java	116	HANDLE_LEAK	Major
SqlInjectionLesson9.java	39	FB.EI_EXPOSE_REP2	Minor
SqlInjectionLesson9.java	63	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson9.java	63	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
SqlInjectionLesson9.java	63	HANDLE_LEAK	Major
SqlInjectionLesson9.java	93	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionLesson9.java	93	HANDLE_LEAK	Major
SqlInjectionLesson9.java	94	FB.OBL_UNSATISFIED_OBLIGATION	Minor
SqlInjectionQuiz.java	70	FB.EI_EXPOSE_REP	Minor
SqlOnlyInputValidation.java	26	FB.EI_EXPOSE_REP2	Minor
SqlOnlyInputValidationOnKeywords.java	30	FB.EI_EXPOSE_REP2	Minor
StartLesson.java	19	FB.EI_EXPOSE_REP2	Minor
StartWebGoat.java	24	NO_CATCH	Normal
StartWebGoat.java	44	FB.NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE	Minor
StoredCrossSiteScriptingVerifier.java	25	FB.EI_EXPOSE_REP2	Minor
UserService.java	22	FB.EI_EXPOSE_REP2	Minor
UserValidator.java	35	PROC_USE.VULNERABLE	Minor
VerifyAccount.java	38	FB.EI_EXPOSE_REP2	Minor
VulnerableComponentsLesson.java	49	FB.RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT	Minor
VulnerableTaskHolder.java	69	FB.COMMAND_INJECTION	Major
VulnerableTaskHolder.java	70	FB.DM_DEFAULT_ENCODING	Minor
VulnerableTaskHolder.java	70	FB.OS_OPEN_STREAM	Minor
WebGoat.java	31	FB.PATH_TRAVERSAL_IN	Minor
WebGoatUser.java	32	FB.EI_EXPOSE_REP	Minor
WebSecurityConfig.java	24	FB.EI_EXPOSE_REP2	Minor
WebSecurityConfig.java	25	FB.EI_EXPOSE_REP2	Minor
WebSecurityConfig.java	47	PROC_USE.VULNERABLE	Minor
WebSecurityConfig.java	61	PROC_USE.VULNERABLE	Minor
WebSecurityConfig.java	75	FB.EI_EXPOSE_REP	Minor
WebSecurityConfig.java	77	FB.EI_EXPOSE_REP	Minor
WebWolfUser.java	29	FB.EI_EXPOSE_REP	Minor
